Gen	Mut	Fit
1	14	0.000281089021576
1	13	0.001647012924
1	14	0.00292964527334
1	9	0.0183536773818
1	7	0.0694457625553
1	15	0.00232310946416
1	9	0.00722882681553
1	18	0.000383291828165
1	16	0.00034316832676
1	11	0.00529924799221
1	14	0.000511163156822
1	9	0.000269414777379
1	8	0.0640256178095
1	17	0.000946009760179
1	10	0.00181083045854
1	11	0.0290639632603
1	13	0.054555617311
1	11	0.0266729820332
1	7	0.0124332424732
1	11	0.0159893386986
1	13	0.00132555465812
1	9	0.0570171027264
1	15	0.0113423308424
1	8	0.0663083401546
1	13	0.00238554446691
1	13	0.0901013860097
1	9	0.0213385976085
1	9	0.00464877965927
1	7	0.00917722320395
1	9	0.125382663765
1	15	0.000694649520911
1	8	0.110912019415
1	12	0.0131389868531
1	5	0.0339354634
1	13	0.0435354539314
1	12	0.0545182702679
1	8	0.00197834413951
1	7	0.0950317182403
1	10	0.0635338658567
1	16	0.000185949825433
1	12	4.03521113655e-05
1	13	0.0062013252503
1	7	0.192382427895
1	8	0.383292512016
1	6	0.0987136316802
1	10	0.0174742331974
1	12	2.80668146899e-05
1	8	0.0166797738599
1	10	0.000515956591414
1	7	0.000949781683724
1	14	0.00113849471754
1	6	0.109498864691
1	11	0.036797934431
1	5	0.118654901363
1	9	0.0339218983945
1	11	0.00659077876564
1	19	2.4193115559e-06
1	13	0.0036302193922
1	9	0.00658218957675
1	14	0.00124997685833
1	10	0.00380758807536
1	5	0.0190116260531
1	14	0.00354236160444
1	7	0.296508583604
1	14	0.0272942157218
1	6	0.00938714215719
1	12	0.0163907658248
1	12	5.90795371279e-06
1	11	0.0344534271112
1	14	0.000757156316837
1	9	0.10201042563
1	13	0.00135840411689
1	7	0.034465939477
1	10	0.136835033015
1	12	0.0665973383814
1	17	2.77013388489e-05
1	13	0.00584041948469
1	6	6.41079523406e-05
1	16	0.000440111074814
1	13	0.00717757376778
1	15	0.000121122412809
1	8	0.00859540907487
1	8	0.0627869533402
1	12	0.000892509233192
1	7	0.0270607093283
1	13	0.00890796603179
1	11	0.00145555151409
1	10	0.104353815747
1	8	0.00125082527045
1	13	0.000196480942222
1	9	0.0123852332308
1	8	0.00337492705503
1	16	0.00266995319454
1	11	0.00346722387633
1	10	0.0114246788085
1	9	0.0536114435256
1	17	0.000220189012631
1	16	0.00206442274436
1	20	0.000113682376107
1	8	0.00241604938849
1	14	2.63453095321e-05
1	3	0.569574776586
1	7	0.0103484477726
1	7	0.0210566747541
1	9	0.00990101231837
1	9	0.0152858546182
1	15	0.00229583365598
1	12	0.000373004997435
1	6	0.0565106046532
1	16	2.97819237065e-05
1	12	0.00033647602535
1	10	0.0369947760572
1	15	0.004157463616
1	11	0.00421874633159
1	14	8.71692889526e-05
1	10	0.00145896960034
1	10	0.0129494940744
1	15	0.00136064842149
1	10	0.0542192245976
1	10	0.00174815947056
1	12	5.05307657048e-05
1	15	0.00149581533063
1	14	0.0159202994996
1	10	0.112882812904
1	9	0.00235636936635
1	9	0.0200315176761
1	14	0.0575192457332
1	19	0.000360103510426
1	11	0.0250826373513
1	16	0.000284631670837
1	14	0.0120177876169
1	8	0.0059865552168
1	16	0.0131364253494
1	11	0.017100202943
1	7	0.00563645616078
1	14	0.000558944843528
1	11	0.0851894648187
1	8	0.00127080262949
1	8	0.0442967064784
1	11	0.0127519215276
1	8	0.0585968283255
1	13	0.0214582739029
1	14	0.00497124195824
1	11	0.0092991342867
1	9	0.292357635989
1	15	0.00011689180876
1	10	0.0786656359572
1	8	0.0613277830962
1	5	0.0453649644904
1	12	0.00177315163976
1	14	0.000853164994369
1	9	0.00569464755622
1	11	0.03108447219
1	6	0.296784355335
1	15	1.37473655765e-05
1	15	5.67880038441e-05
1	13	0.00988780634252
1	10	0.00946646627647
1	13	0.000800170886697
1	14	0.00747040681421
1	12	0.0120017848953
1	12	0.0117461333713
1	13	0.00672475849479
1	17	0.00250304133151
1	10	0.000545007426985
1	13	1.32999560574e-05
1	8	0.157641350455
1	11	0.00539971936298
1	19	0.00192159865102
1	6	0.0795606449843
1	7	0.106578587908
1	11	0.0366755921149
1	11	0.016964211641
1	9	0.00390405911575
1	5	0.12824879143
1	17	0.00169407738157
1	10	0.0215805742446
1	11	0.00587780374909
1	7	0.299976362876
1	10	0.000916762409156
1	11	0.00223460435128
1	11	0.0006951167688
1	9	0.0158424858702
1	12	0.00779524193705
1	8	0.51351230956
1	10	0.065254460764
1	11	0.00194118149491
1	8	0.0177912719301
1	10	0.00590226405348
1	11	0.0220889536366
1	13	0.000683934451792
1	13	0.00145646649277
1	19	0.0334597271073
1	18	0.00475517539601
1	13	0.0190485492364
1	5	0.0475389333468
1	11	0.00287778758647
1	10	0.0953120534498
1	8	0.0326419438347
1	11	0.00343361461315
1	8	0.0487020040861
1	12	0.00768497706917
1	7	0.00944805044142
1	11	0.000829104933146
1	16	0.00353216960758
1	9	0.000778876890091
1	10	0.000593422786334
1	11	0.00665844495648
1	13	0.0016516413614
1	13	0.0207944840602
1	9	0.0342090443774
1	13	0.00334361891008
1	13	0.00677064679145
1	11	0.509498059608
1	10	0.0252920690251
1	13	0.000556027376462
1	19	1.59639681444e-05
1	13	0.0182484575515
1	10	0.0684315257742
1	11	0.00324072173523
1	13	0.000452130558133
1	11	0.300299108328
1	6	0.275566274027
1	14	0.00165825047212
1	12	0.0228918751399
1	11	0.00437405117321
1	14	0.0134700446821
1	14	0.000624463232391
1	12	0.0038813200343
1	11	0.00384689596714
1	14	0.000530432167786
1	7	0.0262128490303
1	13	0.000553086761426
1	8	0.0094829556377
1	9	0.0010063837726
1	18	0.00202040111444
1	8	0.00909565575485
1	10	0.0790243018712
1	13	0.010128219716
1	7	0.144625580288
1	10	0.0431777397063
1	11	6.54565582128e-05
1	8	0.093319887591
1	18	4.94382079174e-05
1	13	0.0159239009521
1	10	0.00138049012329
1	4	0.222655540937
1	15	0.000265351873611
1	13	0.00155898549343
1	18	0.00471754954071
1	7	0.406993670627
1	12	0.136409783499
1	14	0.000720529598363
1	12	0.000585441842076
1	6	0.0186514960819
1	12	0.017849243538
1	10	0.00917545900854
1	7	0.00129325459934
1	16	0.0338098081212
1	15	0.00150196900853
1	9	0.0112597747535
1	17	0.00373448277812
1	16	0.000393023451484
1	13	0.000169212300278
1	12	0.00164993436521
1	15	0.00567523777561
1	11	0.00672189475937
1	14	0.00212767497559
1	12	0.00896541820398
1	12	0.00476238310943
1	10	0.00935616111508
1	16	0.000160186970845
1	11	0.0162491677059
1	13	0.0244082126727
1	13	0.00160382684858
1	9	0.15945663754
1	10	4.08870367975e-05
1	12	0.000294249025226
1	17	0.000701209836188
1	15	0.000137648016035
1	12	0.00918861234767
1	20	0.000251290621569
1	13	0.00112042463894
1	14	0.000812824899136
1	8	0.0289317726997
1	11	0.00684616862302
1	14	0.000770025450834
1	12	0.00339478773371
1	10	0.00596653231063
1	12	0.00945881439647
1	13	0.00490321538281
1	15	0.0442365131681
1	12	0.0124940102114
1	14	0.00025692127
1	10	0.105238205065
1	9	0.203669513791
1	13	0.00108554736133
1	13	0.000995365757203
1	13	0.000264367421607
1	14	0.0492862668034
1	14	0.00594962079722
1	7	0.0445010022057
1	17	0.000120281810864
1	9	0.000760229689322
1	11	0.00398453881009
1	8	0.118075702568
1	8	0.0307208261007
1	20	0.00439056673679
1	8	0.00814428505378
1	13	0.00768045683111
1	4	0.186834608903
1	7	0.0471416967646
1	12	0.000989998394879
1	12	0.00545304006465
1	13	0.0211473697832
1	12	0.000101730481612
1	9	0.00463570076128
1	8	0.00642967667974
1	10	0.00665835775904
1	16	2.13922085092e-05
1	14	0.00699876108199
1	8	0.121571908461
1	15	2.72162022711e-07
1	13	0.00167039343391
1	18	7.54523455646e-05
1	12	0.0039072331335
1	14	0.00460459684742
1	7	0.159930635754
1	7	0.131460836835
1	18	0.000634309513383
1	10	0.00346572011392
1	8	0.00242962458735
1	14	0.0550491214646
1	12	0.0508985662042
1	17	0.00651035772625
1	12	0.0125769750682
1	10	0.00257221587788
1	8	0.235455675297
1	7	0.00945522477705
1	14	0.0484262408962
1	14	0.00400750479299
1	8	0.174146673322
1	13	0.0332140756461
1	9	0.0607909778464
1	16	0.00272042688766
1	12	0.0191761969534
1	7	0.0303092199971
1	9	0.0204838631119
1	9	0.00356282212512
1	19	0.000681754031191
1	11	0.043301985705
1	12	0.00161115740559
